POS,ID,pos_score,neg_score

a,00001740,0.125,0

a,00002098,0,0.75

a,00002312,0,0

a,00002527,0,0

a,00002730,0,0

a,00002843,0,0

a,00002956,0,0

a,00003131,0,0

a,00003356,0,0

a,00003553,0,0

a,00003700,0.25,0

a,00003829,0.25,0

a,00003939,0,0

a,00004171,0,0

a,00004296,0,0

a,00004413,0,0

a,00004615,0,0

a,00004723,0,0

a,00004817,0,0

a,00004980,0,0

a,00005107,0.5,0

a,00005205,0.5,0

a,00005473,0.75,0

a,00005599,0.5,0.5

a,00005718,0.125,0

a,00005839,0.5,0.125

a,00006032,0.25,0.5

a,00006245,0,0

a,00006336,0,0

a,00006777,0.375,0

a,00006885,0,0.75

a,00007096,0,0

a,00007208,0,0.125

a,00007331,0,0

a,00007516,0,0

a,00007697,0,0

a,00007813,0,0.5

a,00007990,0,0.5

a,00008206,0,0

a,00008443,0,0.25

a,00008595,0,0.25

a,00008734,0.5,0

a,00008877,0.25,0

a,00009046,0,0

a,00009346,0,0.625

a,00009618,0.5,0.25

a,00009978,0,0

a,00010385,0,0

a,00010537,0,0.5

a,00010726,0,0

a,00011160,0,0

a,00011327,0,0.125

a,00011665,0.125,0.375

a,00011757,0,0

a,00012071,0.375,0

a,00012362,0.375,0.25

a,00012689,0,0

a,00012932,0.125,0.125

a,00013160,0.625,0.25

a,00013442,0,0

a,00013662,0,0

a,00013887,0,0.25

a,00014358,0,0.25

a,00014490,0.125,0

a,00014858,0,0

a,00015097,0.25,0.625

a,00015247,0,0.25

a,00015480,0,0.5

a,00015589,0.125,0.375

a,00015720,0.125,0.5

a,00015854,0,0.25

a,00016005,0,0

a,00016135,0,0.25

a,00016247,0.125,0.5

a,00016350,0,0

a,00016532,0,0.375

a,00016647,0.125,0.5

a,00016756,0,0.25

a,00017024,0,0.875

a,00017186,0,0.625

a,00017352,0,0.625

a,00017509,0,0.75

a,00017688,0.375,0.25

a,00017782,0.625,0

a,00018069,0.25,0

a,00018222,0.25,0.625

a,00018435,0,0.5

a,00018584,0.125,0.375

a,00018850,0,0.375

a,00019131,0.625,0

a,00019349,0.375,0

a,00019505,0.625,0

a,00019731,0.125,0.125

a,00019874,0.5,0.125

a,00020103,0.125,0

a,00020241,0.125,0.25

a,00020410,0,0

a,00020647,0,0.625

a,00020787,0.5,0

a,00021110,0.75,0

a,00021403,0.25,0.25

a,00021592,0.125,0.25

a,00021766,0.5,0

a,00022219,0.625,0

a,00022437,0.625,0.25

a,00022680,0.5,0.125

a,00022852,0.5,0

a,00022962,0,0

a,00023120,0.125,0

a,00023278,0.875,0

a,00023383,0.125,0.625

a,00023655,0,0

a,00023854,0.125,0.75

a,00024139,0,0.5

a,00024241,0,0.625

a,00024417,0.125,0

a,00024619,0,0.375

a,00024834,0,0.75

a,00024996,0,0.125

a,00025138,0,0.125

a,00025238,0,0.125

a,00025470,0,0.375

a,00025633,0,0.5

a,00025728,0,0

a,00026051,0.125,0.375

a,00026168,0.25,0

a,00026294,0.125,0.125

a,00026388,0.25,0.125

a,00026515,0.5,0

a,00026706,0,0.25

a,00026895,0,0

a,00027074,0,0.25

a,00027247,0.125,0

a,00027599,0.5,0

a,00027833,0,0.125

a,00028008,0.25,0

a,00028181,0.375,0

a,00028280,0,0

a,00028471,0.125,0

a,00028672,0,0.625

a,00028867,0,0.375

a,00028984,0.25,0

a,00029108,0,0.375

a,00029216,0,0.5

a,00029343,0,0

a,00029769,0.375,0

a,00029933,0,0

a,00030508,0,0

a,00030701,0,0

a,00030798,0,0

a,00031138,0.25,0.5

a,00031384,0,0.5

a,00031533,0,0.5

a,00031674,0,0

a,00031824,0,0

a,00031974,0.5,0.125

a,00032358,0,0

a,00032497,0.375,0

a,00032733,0,0

a,00033077,0.5,0

a,00033206,0.25,0

a,00033359,0.125,0

a,00033475,0.25,0

a,00033574,0.375,0.5

a,00033886,0.125,0

a,00034032,0.25,0.375

a,00034232,0,0.625

a,00034322,0.25,0.125

a,00034572,0.125,0

a,00034710,0,0

a,00034924,0,0.125

a,00035074,0,0.375

a,00035254,0,0.625

a,00035368,0,0.625

a,00035465,0,0

a,00035779,0.25,0.125

a,00035868,0.5,0

a,00035978,0.375,0.25

a,00036163,0,0.5

a,00036254,0,0

a,00036346,0.125,0.375

a,00036481,0.25,0

a,00036763,0,0

a,00036879,0.25,0

a,00036998,0,0.5

a,00037188,0.125,0.625

a,00037341,0,0

a,00037457,0.375,0.5

a,00037653,0,0.25

